Starting GA with 10 individuals for 10 generations...
Gen 1/10: Best fitness = 19737.5, Elective delay = 8260
Gen 2/10: Best fitness = 19737.5, Elective delay = 8260
Gen 3/10: Best fitness = 19737.5, Elective delay = 8260
Gen 4/10: Best fitness = 19737.5, Elective delay = 8260
Gen 5/10: Best fitness = 19737.5, Elective delay = 8260
Gen 6/10: Best fitness = 19737.5, Elective delay = 8260
Gen 7/10: Best fitness = 19737.5, Elective delay = 8260
Gen 8/10: Best fitness = 19737.5, Elective delay = 8260
Gen 9/10: Best fitness = 19737.5, Elective delay = 8260
Gen 10/10: Best fitness = 19737.5, Elective delay = 8260
